time,open,high,low,close
1647295200,97.875,97.875,97.875,97.875
1647381600,97.87,97.87,97.87,97.87
1647468000,97.89,97.89,97.89,97.89
1647554400,97.965,97.965,97.965,97.965
1647813600,97.825,97.825,97.825,97.825
1647900000,97.76,97.76,97.76,97.76
1647986400,97.815,97.815,97.815,97.815
1648072800,97.78,97.78,97.78,97.78
1648159200,97.645,97.645,97.645,97.645
1648418400,97.665,97.665,97.665,97.665
1648504800,97.745,97.745,97.745,97.745
1648591200,97.795,97.795,97.795,97.795
1648677600,97.84,97.84,97.84,97.84
1648764000,97.8,97.8,97.8,97.8
1649023200,97.78,97.78,97.78,97.78
1649109600,97.66,97.66,97.66,97.66
1649196000,97.54,97.54,97.54,97.54
1649282400,97.395,97.395,97.395,97.395
1649368800,97.295,97.295,97.295,97.295
1649628000,97.17,97.17,97.17,97.17
1649714400,97.175,97.175,97.175,97.175
1649800800,97.23,97.23,97.23,97.23
1649887200,97.095,97.095,97.095,97.095
1650232800,96.99,96.99,96.99,96.99
1650319200,96.955,96.955,96.955,96.955
1650405600,97.05,97.05,97.05,97.05
1650492000,96.995,96.995,96.995,96.995
1650578400,97.03,97.03,97.03,97.03
1650837600,97.115,97.115,97.115,97.115
1650924000,97.135,97.135,97.135,97.135
1651010400,97.065,97.065,97.065,97.065
1651096800,97,97,97,97
1651183200,97,97,97,97
1651442400,96.855,96.855,96.855,96.855
1651528800,96.92,96.92,96.92,96.92
1651615200,96.895,96.895,96.895,96.895
1651701600,96.715,96.715,96.715,96.715
1651788000,96.61,96.61,96.61,96.61
1652047200,96.64,96.64,96.64,96.64
1652133600,96.74,96.74,96.74,96.74
1652220000,96.865,96.865,96.865,96.865
1652306400,96.955,96.955,96.955,96.955
1652392800,96.845,96.845,96.845,96.845
1652652000,96.895,96.895,96.895,96.895
1652738400,96.82,96.82,96.82,96.82
1652824800,96.955,96.955,96.955,96.955
1652911200,96.99,96.99,96.99,96.99
1652997600,97.095,97.095,97.095,97.095
1653256800,97.035,97.035,97.035,97.035
1653343200,97.055,97.055,97.055,97.055
1653429600,97.045,97.045,97.045,97.045
1653516000,97.005,97.005,97.005,97.005
1653602400,97.025,97.025,97.025,97.025
1653861600,96.925,96.925,96.925,96.925
1654034400,96.89,96.89,96.89,96.89
1654120800,96.935,96.935,96.935,96.935
1654207200,96.885,96.885,96.885,96.885
1654466400,96.78,96.78,96.78,96.78
1654552800,96.88,96.88,96.88,96.88
1654639200,96.825,96.825,96.825,96.825
1654725600,96.825,96.825,96.825,96.825
1654812000,96.77,96.77,96.77,96.77
1655071200,96.565,96.565,96.565,96.565
1655157600,96.48,96.48,96.48,96.48
1655244000,96.54,96.54,96.54,96.54
1655330400,96.63,96.63,96.63,96.63
1655416800,96.71,96.71,96.71,96.71
1655676000,96.61,96.61,96.61,96.61
1655848800,96.74,96.74,96.74,96.74
1655935200,96.84,96.84,96.84,96.84
1656021600,96.745,96.745,96.745,96.745
1656280800,96.69,96.69,96.69,96.69
1656367200,96.675,96.675,96.675,96.675
1656453600,96.775,96.775,96.775,96.775
1656540000,96.89,96.89,96.89,96.89
1656626400,96.92,96.92,96.92,96.92
1656885600,96.995,96.995,96.995,96.995
1657058400,96.91,96.91,96.91,96.91
1657144800,96.795,96.795,96.795,96.795
1657231200,96.71,96.71,96.71,96.71
1657490400,96.845,96.845,96.845,96.845
1657576800,96.9,96.9,96.9,96.9
1657663200,97.02,97.02,97.02,97.02
1657749600,96.99,96.99,96.99,96.99
1657836000,97.055,97.055,97.055,97.055
1658095200,97.03,97.03,97.03,97.03
1658181600,96.99,96.99,96.99,96.99
1658268000,96.955,96.955,96.955,96.955
1658354400,97.065,97.065,97.065,97.065
1658440800,97.17,97.17,97.17,97.17
1658700000,97.1,97.1,97.1,97.1
1658786400,97.135,97.135,97.135,97.135
1658872800,97.19,97.19,97.19,97.19
1658959200,97.24,97.24,97.24,97.24
1659045600,97.285,97.285,97.285,97.285
1659304800,97.355,97.355,97.355,97.355
1659391200,97.295,97.295,97.295,97.295
1659477600,97.315,97.315,97.315,97.315
1659564000,97.395,97.395,97.395,97.395
1659650400,97.255,97.255,97.255,97.255
1659909600,97.345,97.345,97.345,97.345
1659996000,97.365,97.365,97.365,97.365
1660082400,97.325,97.325,97.325,97.325
1660168800,97.15,97.15,97.15,97.15
1660255200,97.205,97.205,97.205,97.205
1660514400,97.29,97.29,97.29,97.29
1660600800,97.315,97.315,97.315,97.315
1660687200,97.24,97.24,97.24,97.24
1660773600,97.255,97.255,97.255,97.255
1660860000,97.125,97.125,97.125,97.125
1661119200,97.105,97.105,97.105,97.105
1661205600,97.08,97.08,97.08,97.08
1661292000,97,97,97,97
1661378400,97.09,97.09,97.09,97.09
1661464800,97.035,97.075,97.035,97.075
