time,open,high,low,close
1637017200,98.21,98.21,98.21,98.21
1637103600,98.235,98.235,98.235,98.235
1637190000,98.265,98.265,98.265,98.265
1637276400,98.34,98.34,98.34,98.34
1637535600,98.235,98.235,98.235,98.235
1637622000,98.17,98.17,98.17,98.17
1637708400,98.21,98.21,98.21,98.21
1637794800,98.385,98.385,98.385,98.385
1638140400,98.315,98.315,98.315,98.315
1638226800,98.43,98.43,98.43,98.43
1638313200,98.5,98.5,98.5,98.5
1638399600,98.5,98.5,98.5,98.5
1638486000,98.635,98.635,98.635,98.635
1638745200,98.485,98.485,98.485,98.485
1638831600,98.44,98.44,98.44,98.44
1638918000,98.42,98.42,98.42,98.42
1639004400,98.46,98.46,98.46,98.46
1639090800,98.435,98.435,98.435,98.435
1639350000,98.495,98.495,98.495,98.495
1639436400,98.485,98.485,98.485,98.485
1639522800,98.485,98.485,98.485,98.485
1639609200,98.54,98.54,98.54,98.54
1639695600,98.575,98.575,98.575,98.575
1639954800,98.525,98.525,98.525,98.525
1640041200,98.435,98.435,98.435,98.435
1640127600,98.46,98.46,98.46,98.46
1640214000,98.435,98.435,98.435,98.435
1640559600,98.46,98.46,98.46,98.46
1640646000,98.48,98.48,98.48,98.48
1640732400,98.39,98.39,98.39,98.39
1640818800,98.4,98.4,98.4,98.4
1640905200,98.415,98.415,98.415,98.415
1641164400,98.245,98.245,98.245,98.245
1641250800,98.2,98.2,98.2,98.2
1641337200,98.17,98.17,98.17,98.17
1641423600,98.14,98.14,98.14,98.14
1641510000,98.065,98.105,98.065,98.105
1641769200,98.1,98.1,98.1,98.1
1641855600,98.15,98.15,98.15,98.15
1641942000,98.195,98.195,98.195,98.195
1642028400,98.23,98.23,98.23,98.23
1642114800,98.15,98.15,98.15,98.15
1642374000,98.045,98.045,98.045,98.045
1642546800,98.04,98.095,98.04,98.095
1642633200,98.11,98.11,98.11,98.11
1642719600,98.15,98.18,98.15,98.18
1642978800,98.2,98.2,98.2,98.2
1643065200,98.15,98.15,98.135,98.135
1643151600,98.065,98.065,98.065,98.065
1643238000,98.17,98.17,98.17,98.17
1643324400,98.215,98.215,98.215,98.215
1643583600,98.22,98.22,98.195,98.205
1643670000,98.195,98.195,98.195,98.195
1643756400,98.23,98.23,98.23,98.23
1643842800,98.16,98.16,98.16,98.16
1643929200,98.06,98.06,98.06,98.06
1644188400,98.075,98.075,98.075,98.075
1644274800,98.035,98.035,98.035,98.035
1644361200,98.08,98.08,98.08,98.08
1644447600,98.065,98.065,98.015,98.015
1644534000,98.065,98.125,98.065,98.125
1644793200,98.075,98.075,98.075,98.075
1644879600,97.99,97.99,97.99,97.99
1644966000,97.98,97.98,97.98,97.98
1645052400,98.07,98.07,98.07,98.07
1645138800,98.12,98.12,98.12,98.12
1645398000,98.13,98.135,98.125,98.125
1645570800,98.09,98.09,98.09,98.09
1645657200,98.07,98.07,98.07,98.07
1645743600,98.065,98.065,98.065,98.065
1646002800,98.21,98.21,98.21,98.21
1646089200,98.31,98.33,98.31,98.33
1646175600,98.225,98.225,98.18,98.18
1646262000,98.17,98.24,98.17,98.23
1646348400,98.34,98.38,98.34,98.38
1646607600,98.38,98.38,98.38,98.38
1646694000,98.34,98.345,98.265,98.265
1646780400,98.175,98.175,98.175,98.175
1646866800,98.18,98.18,98.1,98.1
1646953200,98.09,98.09,98.09,98.09
1647208800,97.93,97.93,97.93,97.93
1647295200,97.98,97.98,97.905,97.905
1647381600,97.86,97.89,97.86,97.89
1647468000,97.915,97.915,97.905,97.915
1647554400,97.955,97.995,97.945,97.995
1647813600,97.895,97.895,97.85,97.85
1647900000,97.83,97.83,97.775,97.785
1647986400,97.755,97.85,97.755,97.84
1648072800,97.825,97.825,97.8,97.81
1648159200,97.67,97.67,97.625,97.64
1648418400,97.63,97.695,97.63,97.69
1648504800,97.79,97.79,97.79,97.79
1648591200,97.855,97.865,97.855,97.855
1648677600,97.935,97.935,97.92,97.92
1648764000,97.83,97.9,97.83,97.9
1649023200,97.88,97.88,97.88,97.88
1649109600,97.805,97.805,97.675,97.675
1649196000,97.555,97.59,97.555,97.59
1649282400,97.615,97.625,97.485,97.485
1649368800,97.48,97.485,97.4,97.4
1649628000,97.35,97.355,97.27,97.275
1649714400,97.235,97.335,97.235,97.33
1649800800,97.33,97.41,97.325,97.365
1649887200,97.335,97.355,97.225,97.235
1650232800,97.17,97.17,97.17,97.17
1650319200,97.135,97.135,97.1,97.12
1650405600,97.1,97.225,97.1,97.225
1650492000,97.195,97.215,97.145,97.145
1650578400,97.15,97.235,97.135,97.205
1650837600,97.245,97.295,97.245,97.295
1650924000,97.32,97.32,97.305,97.305
1651010400,97.305,97.325,97.25,97.25
1651096800,97.175,97.22,97.175,97.185
1651183200,97.215,97.215,97.15,97.175
1651442400,97.035,97.065,97.035,97.035
1651528800,97.105,97.135,97.07,97.095
1651615200,97.05,97.1,97.05,97.1
1651701600,97.065,97.065,96.905,96.965
1651788000,96.89,96.89,96.875,96.88
1652047200,96.93,96.965,96.93,96.93
1652133600,97.1,97.1,97.04,97.04
1652220000,97.01,97.145,97.01,97.145
1652306400,97.205,97.215,97.205,97.215
1652392800,97.125,97.125,97.095,97.095
1652652000,97.095,97.17,97.09,97.17
1652738400,97.13,97.145,97.095,97.095
1652824800,97.125,97.21,97.125,97.21
1652911200,97.27,97.27,97.235,97.235
1652997600,97.24,97.315,97.24,97.31
1653256800,97.275,97.275,97.23,97.245
1653343200,97.305,97.31,97.305,97.31
1653429600,97.315,97.33,97.295,97.32
1653516000,97.345,97.345,97.275,97.3
1653602400,97.315,97.315,97.315,97.315
1653861600,97.255,97.255,97.21,97.225
1654034400,97.225,97.225,97.13,97.16
1654120800,97.2,97.22,97.2,97.2
1654207200,97.195,97.21,97.15,97.15
1654466400,97.17,97.17,97.045,97.045
1654552800,97.07,97.15,97.06,97.14
1654639200,97.105,97.105,97.075,97.09
1654725600,97.08,97.095,97.08,97.09
1654812000,97.115,97.18,97.005,97.01
1655071200,97.005,97.02,96.75,96.79
1655157600,96.81,96.9,96.675,96.685
1655244000,96.71,96.86,96.705,96.745
1655330400,96.825,97.015,96.67,96.885
1655416800,96.985,97.03,96.905,96.955
1655676000,96.95,96.99,96.85,96.86
1655848800,96.88,97.03,96.88,96.985
1655935200,96.995,97.125,96.975,97.085
1656021600,97.06,97.09,96.96,96.99
1656280800,96.985,96.995,96.9,96.93
1656367200,96.91,96.95,96.855,96.91
1656453600,96.935,97.01,96.93,97
1656540000,97.01,97.13,96.98,97.13
1656626400,97.09,97.29,97.075,97.17
1656885600,97.17,97.3,97.075,97.26
1657058400,97.255,97.34,97.155,97.175
1657144800,97.16,97.195,97.05,97.055
1657231200,97.065,97.105,96.97,96.975
