time,open,high,low,close
1636930800,98.34,98.34,98.34,98.34
1637017200,98.31,98.31,98.31,98.31
1637103600,98.34,98.34,98.335,98.335
1637190000,98.34,98.375,98.34,98.375
1637276400,98.45,98.45,98.44,98.445
1637535600,98.335,98.335,98.335,98.335
1637622000,98.28,98.28,98.28,98.28
1637708400,98.315,98.315,98.315,98.315
1637794800,98.49,98.49,98.49,98.49
1638140400,98.45,98.45,98.45,98.45
1638226800,98.545,98.545,98.545,98.545
1638313200,98.53,98.595,98.53,98.595
1638399600,98.57,98.58,98.57,98.57
1638486000,98.695,98.695,98.695,98.695
1638745200,98.555,98.555,98.555,98.555
1638831600,98.505,98.505,98.505,98.505
1638918000,98.49,98.49,98.49,98.49
1639004400,98.525,98.525,98.525,98.525
1639090800,98.495,98.495,98.495,98.495
1639350000,98.55,98.55,98.55,98.55
1639436400,98.535,98.535,98.535,98.535
1639522800,98.53,98.53,98.53,98.53
1639609200,98.555,98.615,98.555,98.605
1639695600,98.595,98.655,98.595,98.635
1639954800,98.605,98.605,98.605,98.605
1640041200,98.51,98.515,98.5,98.51
1640127600,98.52,98.525,98.52,98.52
1640214000,98.525,98.525,98.5,98.5
1640559600,98.515,98.515,98.515,98.515
1640646000,98.505,98.53,98.505,98.525
1640732400,98.475,98.48,98.425,98.45
1640818800,98.44,98.46,98.44,98.46
1640905200,98.465,98.49,98.465,98.48
1641164400,98.44,98.44,98.325,98.325
1641250800,98.28,98.3,98.265,98.285
1641337200,98.31,98.31,98.25,98.255
1641423600,98.215,98.22,98.195,98.215
1641510000,98.2,98.2,98.14,98.17
1641769200,98.15,98.165,98.13,98.15
1641855600,98.17,98.205,98.155,98.2
1641942000,98.2,98.245,98.195,98.245
1642028400,98.225,98.29,98.215,98.28
1642114800,98.25,98.275,98.18,98.2
1642374000,98.17,98.175,98.065,98.08
1642546800,98.045,98.135,98.045,98.135
1642633200,98.105,98.17,98.105,98.15
1642719600,98.19,98.24,98.185,98.22
1642978800,98.26,98.265,98.205,98.25
1643065200,98.22,98.23,98.18,98.185
1643151600,98.185,98.195,98.09,98.105
1643238000,98.13,98.215,98.12,98.195
1643324400,98.17,98.25,98.155,98.245
1643583600,98.235,98.255,98.215,98.23
1643670000,98.265,98.28,98.215,98.235
1643756400,98.23,98.28,98.215,98.265
1643842800,98.26,98.27,98.185,98.195
1643929200,98.17,98.2,98.07,98.07
1644188400,98.11,98.115,98.08,98.095
1644274800,98.085,98.085,98.035,98.05
1644361200,98.09,98.105,98.085,98.09
1644447600,98.07,98.1,98.015,98.015
1644534000,98.045,98.165,98.02,98.13
1644793200,98.11,98.175,98.055,98.08
1644879600,98.065,98.065,97.99,98.015
1644966000,98.015,98.06,98,98.01
1645052400,98.05,98.11,98.04,98.095
1645138800,98.105,98.155,98.07,98.145
1645398000,98.145,98.23,98.13,98.145
1645570800,98.105,98.125,98.075,98.11
1645657200,98.14,98.255,98.115,98.115
1645743600,98.145,98.155,98.07,98.105
1646002800,98.265,98.28,98.17,98.255
1646089200,98.24,98.445,98.215,98.425
1646175600,98.39,98.42,98.2,98.245
1646262000,98.26,98.305,98.225,98.3
1646348400,98.455,98.48,98.335,98.455
1646607600,98.5,98.5,98.365,98.43
1646694000,98.415,98.42,98.295,98.315
1646780400,98.325,98.33,98.205,98.215
1646866800,98.22,98.235,98.13,98.145
1646953200,98.15,98.17,98.12,98.13
1647208800,98.095,98.095,97.975,97.985
1647295200,97.99,98.05,97.95,97.96
1647381600,97.975,97.975,97.85,97.92
1647468000,97.925,98.02,97.925,97.97
1647554400,98,98.045,97.985,98.035
1647813600,98.02,98.02,97.87,97.875
1647900000,97.84,97.85,97.795,97.815
1647986400,97.81,97.9,97.78,97.86
1648072800,97.87,97.87,97.78,97.83
1648159200,97.775,97.79,97.61,97.61
1648418400,97.555,97.715,97.55,97.665
1648504800,97.685,97.81,97.61,97.795
1648591200,97.805,97.89,97.765,97.87
1648677600,97.885,97.95,97.885,97.935
1648764000,97.875,97.895,97.815,97.88
1649023200,97.865,97.885,97.83,97.865
1649109600,97.88,97.88,97.63,97.64
1649196000,97.64,97.64,97.505,97.59
1649282400,97.57,97.645,97.52,97.54
1649368800,97.54,97.54,97.44,97.465
1649628000,97.46,97.46,97.345,97.355
1649714400,97.325,97.475,97.3,97.435
1649800800,97.425,97.535,97.365,97.465
1649887200,97.46,97.515,97.3,97.335
1650232800,97.295,97.34,97.255,97.285
1650319200,97.285,97.31,97.17,97.21
1650405600,97.145,97.31,97.14,97.305
1650492000,97.275,97.31,97.18,97.21
1650578400,97.205,97.31,97.16,97.295
1650837600,97.28,97.445,97.28,97.375
1650924000,97.4,97.45,97.315,97.38
1651010400,97.4,97.435,97.325,97.335
1651096800,97.32,97.355,97.245,97.26
1651183200,97.275,97.295,97.195,97.255
1651442400,97.215,97.23,97.11,97.125
1651528800,97.145,97.225,97.115,97.18
1651615200,97.155,97.225,97.135,97.22
1651701600,97.2,97.23,97.04,97.095
1651788000,97.115,97.125,97.005,97.02
1652047200,97,97.125,96.93,97.075
1652133600,97.12,97.24,97.1,97.19
1652220000,97.19,97.295,97.165,97.275
1652306400,97.27,97.38,97.27,97.34
1652392800,97.29,97.295,97.2,97.215
1652652000,97.21,97.32,97.195,97.32
1652738400,97.31,97.315,97.205,97.23
1652824800,97.23,97.33,97.19,97.32
1652911200,97.31,97.44,97.285,97.34
1652997600,97.355,97.405,97.32,97.395
1653256800,97.395,97.395,97.315,97.325
1653343200,97.355,97.485,97.34,97.435
1653429600,97.445,97.495,97.435,97.465
1653516000,97.465,97.495,97.405,97.455
1653602400,97.465,97.505,97.445,97.465
1653861600,97.48,97.485,97.33,97.375
1654034400,97.365,97.38,97.25,97.28
1654120800,97.3,97.34,97.285,97.32
1654207200,97.315,97.32,97.25,97.27
1654466400,97.28,97.295,97.165,97.165
1654552800,97.155,97.265,97.14,97.255
1654639200,97.24,97.245,97.185,97.21
1654725600,97.205,97.235,97.165,97.2
1654812000,97.195,97.28,97.09,97.105
1655071200,97.105,97.12,96.81,96.88
1655157600,96.94,97.035,96.745,96.76
1655244000,96.78,96.965,96.78,96.835
1655330400,96.95,97.12,96.76,97
1655416800,97.105,97.145,96.985,97.045
1655676000,97,97.085,96.96,96.975
1655848800,96.985,97.155,96.985,97.1
1655935200,97.09,97.245,97.075,97.2
1656021600,97.18,97.215,97.095,97.11
1656280800,97.1,97.11,97.01,97.045
1656367200,97.025,97.07,96.97,97.025
1656453600,97.05,97.13,97.045,97.12
1656540000,97.125,97.27,97.1,97.27
1656626400,97.225,97.455,97.22,97.335
1656885600,97.35,97.485,97.27,97.435
1657058400,97.43,97.525,97.31,97.335
1657144800,97.32,97.35,97.205,97.215
1657231200,97.225,97.26,97.13,97.14
1657490400,97.13,97.295,97.13,97.28
1657576800,97.28,97.38,97.28,97.33
1657663200,97.33,97.43,97.22,97.415
1657749600,97.41,97.425,97.305,97.365
1657836000,97.355,97.42,97.35,97.415
1658095200,97.415,97.44,97.315,97.395
1658181600,97.36,97.385,97.295,97.34
1658268000,97.335,97.415,97.28,97.29
1658354400,97.29,97.48,97.23,97.435
1658440800,97.475,97.61,97.445,97.56
1658700000,97.59,97.59,97.505,97.545
1658786400,97.56,97.67,97.555,97.585
1658872800,97.575,97.675,97.55,97.675
1658959200,97.625,97.79,97.56,97.755
1659045600,97.745,97.81,97.69,97.785
1659304800,97.785,97.89,97.76,97.83
1659391200,97.86,97.93,97.63,97.655
1659477600,97.64,97.72,97.55,97.665
1659564000,97.7,97.79,97.675,97.77
1659650400,97.725,97.76,97.57,97.6
1659909600,97.59,97.715,97.58,97.695
1659996000,97.7,97.7,97.62,97.65
1660082400,97.66,97.825,97.63,97.69
1660168800,97.69,97.74,97.565,97.58
1660255200,97.575,97.65,97.555,97.625
1660514400,97.645,97.735,97.61,97.71
1660600800,97.74,97.74,97.65,97.695
1660687200,97.7,97.705,97.57,97.595
1660773600,97.59,97.65,97.565,97.6
1660860000,97.59,97.59,97.465,97.47
1661119200,97.47,97.52,97.415,97.42
1661205600,97.43,97.475,97.36,97.38
1661292000,97.39,97.41,97.285,97.325
1661378400,97.315,97.395,97.29,97.39
1661464800,97.385,97.4,97.315,97.33
1661724000,97.29,97.305,97.205,97.22
1661810400,97.235,97.29,97.185,97.23
1661896800,97.225,97.245,97.105,97.205
1661983200,97.11,97.145,97,97.045
1662069600,97.035,97.175,97.02,97.145
1662328800,97.135,97.155,96.935,96.975
1662501600,96.96,97.085,96.935,97.075
1662588000,97.07,97.16,97.005,97.04
1662674400,97.02,97.095,97,97.005
1662933600,97.005,97.075,96.97,96.985
1663020000,97.01,97.065,96.895,96.925
1663106400,96.935,96.985,96.89,96.955
1663192800,96.965,96.975,96.87,96.895
1663279200,96.905,96.96,96.87,96.91
1663538400,96.905,96.915,96.835,96.86
1663624800,96.86,96.88,96.745,96.775
1663711200,96.785,96.875,96.73,96.865
1663797600,96.835,96.85,96.61,96.65
1663884000,96.635,96.68,96.495,96.64
1664143200,96.62,96.62,96.36,96.405
1664229600,96.375,96.53,96.275,96.335
1664316000,96.355,96.605,96.245,96.575
1664402400,96.565,96.575,96.395,96.535
1664488800,96.465,96.59,96.38,96.445
1664748000,96.43,96.74,96.41,96.64
1664834400,96.665,96.79,96.645,96.755
1664920800,96.735,96.76,96.535,96.565
1665007200,96.57,96.585,96.455,96.5
1665093600,96.505,96.51,96.39,96.44
1665352800,96.44,96.48,96.32,96.38
1665439200,96.39,96.495,96.315,96.4
1665525600,96.4,96.47,96.36,96.45
1665612000,96.45,96.53,96.265,96.46
1665698400,96.475,96.615,96.385,96.415
1665957600,96.44,96.58,96.415,96.435
1666044000,96.445,96.51,96.39,96.45
1666130400,96.445,96.45,96.29,96.3
1666216800,96.3,96.345,96.15,96.17
1666303200,96.175,96.255,96.065,96.23
1666562400,96.275,96.355,96.155,96.205
1666648800,96.2,96.4,96.2,96.335
1666735200,96.33,96.435,96.31,96.42
1666821600,96.415,96.57,96.32,96.505
1666908000,96.53,96.535,96.34,96.38
1667167200,96.375,96.385,96.305,96.35
1667253600,96.355,96.515,96.31,96.345
1667340000,96.33,96.46,96.305,96.37
1667426400,96.325,96.33,96.195,96.32
1667512800,96.3,96.36,96.235,96.315
1667775600,96.32,96.37,96.285,96.295
1667862000,96.285,96.405,96.26,96.39
1667948400,96.405,96.48,96.35,96.41
1668034800,96.465,96.76,96.415,96.74
1668121200,96.745,96.785,96.695,96.775
1668380400,96.745,96.745,96.685,96.725
1668466800,96.73,96.87,96.715,96.805
1668553200,96.805,96.955,96.75,96.925
1668639600,96.93,96.95,96.82,96.86
1668726000,96.85,96.88,96.765,96.785
1668985200,96.79,96.85,96.75,96.765
1669071600,96.755,96.855,96.755,96.835
1669158000,96.85,96.925,96.79,96.89
1669244400,96.915,96.98,96.835,96.91
1669590000,96.935,97,96.9,96.92
1669676400,96.92,96.965,96.865,96.905
1669762800,96.895,97.09,96.815,96.985
1669849200,97.095,97.175,97.035,97.15
1669935600,97.16,97.24,97.005,97.205
1670194800,97.195,97.2,97.065,97.08
1670281200,97.08,97.16,97.07,97.16
1670367600,97.135,97.27,97.1,97.27
1670454000,97.245,97.245,97.11,97.14
1670540400,97.14,97.185,97.035,97.06
1670799600,97.035,97.11,97,97.02
1670886000,97.03,97.24,97.025,97.13
1670972400,97.125,97.19,97.06,97.14
1671058800,97.175,97.2,97.125,97.185
1671145200,97.18,97.18,97.06,97.16
1671404400,97.14,97.15,97.04,97.075
1671490800,97.075,97.08,96.935,96.965
1671577200,96.945,97.02,96.915,96.92
1671663600,96.925,96.97,96.9,96.92
1671750000,96.905,96.915,96.835,96.86
1672095600,96.865,96.875,96.775,96.775
1672182000,96.79,96.83,96.71,96.72
1672268400,96.73,96.77,96.705,96.745
1672354800,96.755,96.785,96.675,96.785
1672700400,96.785,96.89,96.775,96.83
1672786800,96.87,96.98,96.87,96.93
1672873200,96.955,96.96,96.85,96.92
1672959600,96.92,97.135,96.88,97.12
1673218800,97.14,97.2,97.08,97.165
1673305200,97.135,97.16,97.05,97.065
1673391600,97.075,97.155,97.075,97.125
1673478000,97.14,97.29,97.06,97.26
1673564400,97.265,97.3,97.2,97.2
1673823600,97.2,97.235,97.13,97.19
1673996400,97.17,97.365,97.16,97.36
1674082800,97.355,97.415,97.29,97.31
1674169200,97.315,97.315,97.18,97.205
1674428400,97.215,97.245,97.145,97.155
1674514800,97.17,97.23,97.125,97.22
1674601200,97.23,97.27,97.185,97.22
1674687600,97.235,97.245,97.135,97.175
1674774000,97.165,97.17,97.085,97.125
1675033200,97.125,97.15,97.06,97.065
1675119600,97.09,97.165,97.075,97.13
1675206000,97.145,97.285,97.125,97.275
1675292400,97.245,97.355,97.225,97.265
1675378800,97.26,97.29,97.085,97.095
1675638000,97.09,97.095,96.955,96.98
1675724400,96.975,97.075,96.96,96.96
1675810800,96.965,97.035,96.965,96.99
1675897200,97.025,97.04,96.925,96.935
1675983600,96.96,96.975,96.875,96.885
1676242800,96.875,96.91,96.85,96.885
1676329200,96.895,96.99,96.79,96.825
1676415600,96.835,96.865,96.765,96.78
1676502000,96.78,96.83,96.71,96.75
1676588400,96.72,96.78,96.66,96.775
1676847600,96.77,96.77,96.6,96.62
1677020400,96.61,96.665,96.59,96.635
1677106800,96.625,96.7,96.57,96.68
1677193200,96.68,96.71,96.56,96.59
1677452400,96.595,96.675,96.58,96.66
1677538800,96.665,96.68,96.595,96.665
1677625200,96.645,96.655,96.545,96.56
1677711600,96.57,96.575,96.455,96.465
1677798000,96.47,96.56,96.46,96.55
1678057200,96.54,96.63,96.54,96.56
1678143600,96.585,96.625,96.53,96.59
1678230000,96.59,96.665,96.53,96.58
1678316400,96.575,96.69,96.545,96.65
1678402800,96.675,96.925,96.675,96.85
1678658400,96.9,97.085,96.72,96.86
1678744800,96.775,96.855,96.645,96.745
1678831200,96.655,96.92,96.65,96.825
1678917600,96.795,96.975,96.72,96.725
1679004000,96.74,96.98,96.735,96.95
1679263200,96.92,97.065,96.805,96.855
1679349600,96.845,96.92,96.75,96.775
1679436000,96.765,97.03,96.75,96.95
1679522400,97.02,97.13,96.94,97.095
1679608800,97.08,97.23,97.065,97.105
1679868000,97.1,97.125,96.96,96.98
1679954400,96.975,97.015,96.915,96.935
1680040800,96.945,96.98,96.9,96.945
1680127200,96.945,97,96.91,96.995
1680213600,96.975,97.1,96.95,97.065
1680472800,97.1,97.18,97.025,97.135
1680559200,97.16,97.26,97.09,97.255
1680645600,97.245,97.33,97.21,97.265
1680732000,97.24,97.32,97.23,97.28
1680818400,97.265,97.265,97.165,97.175
1681077600,97.18,97.19,97.095,97.135
1681164000,97.125,97.165,97.08,97.11
1681250400,97.125,97.235,97.09,97.175
1681336800,97.2,97.225,97.115,97.13
1681423200,97.135,97.165,97.02,97.03
1681682400,97.035,97.05,96.94,96.96
1681768800,96.95,97.01,96.945,96.98
1681855200,96.975,96.98,96.91,96.96
1681941600,96.97,97.06,96.97,97.035
1682028000,97.045,97.075,96.995,97
1682287200,97,97.095,96.995,97.065
1682373600,97.095,97.225,97.095,97.205
1682460000,97.185,97.215,97.135,97.165
1682546400,97.145,97.165,97.04,97.05
1682632800,97.055,97.165,97.02,97.115
1682892000,97.14,97.145,96.98,97.015
1682978400,97.015,97.2,97.01,97.175
1683064800,97.18,97.32,97.17,97.21
1683151200,97.335,97.385,97.235,97.295
1683237600,97.24,97.255,97.155,97.175
1683496800,97.18,97.2,97.115,97.12
